id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,League,G90,A90,G+A90,xG90,xA90,xG+A90
6227,Brais Méndez,25,2034,4,2.589087564498186,4,2.0335503360256557,36,26,6,0,F M S,Celta Vigo,4,2.589087564498186,8.592250027693808,5.538386349566281,La_Liga,0.17699115044247787,0.17699115044247787,0.35398230088495575,0.11456139665921178,0.08998010336396707,0.20454150002317883
6533,Anthony Lozano,21,1340,4,4.276063038036227,2,0.6570739857852459,36,8,5,0,F M S,Cadiz,4,4.276063038036227,4.403933327645063,0.6026683822274208,La_Liga,0.26865671641791045,0.13432835820895522,0.40298507462686567,0.28719826374870183,0.04413183486617323,0.33133009861487506
7863,Antonio Puertas,22,1517,4,3.163001526147127,1,0.6279020048677921,26,12,3,0,D F M S,Granada,4,3.163001526147127,4.361125783994794,2.145621752366424,La_Liga,0.23731048121292023,0.05932762030323006,0.2966381015161503,0.18765335356179397,0.03725193173243328,0.22490528529422726
318,Pierre-Emerick Aubameyang,4,228,3,2.0297278594225645,0,0.0684119462966919,7,1,0,0,F S,Barcelona,3,2.0297278594225645,1.95880982093513,0.9456425309181212,La_Liga,1.1842105263157894,0.0,1.1842105263157894,0.8012083655615385,0.027004715643431012,0.8282130812049695
608,Alberto Moreno,23,1162,3,2.3864971566945314,2,2.818782489746809,21,17,3,0,D F M S,Villarreal,3,2.3864971566945314,6.076428450644016,2.2932137083262205,La_Liga,0.2323580034423408,0.1549053356282272,0.387263339070568,0.18484057151678815,0.21832222381859967,0.4031627953353878
2094,Ivan Rakitic,24,1529,3,2.6627118540927768,3,1.7895732251927257,29,25,5,0,M S,Sevilla,2,1.1761565981432796,6.485207051970065,5.453991887159646,La_Liga,0.17658600392413343,0.17658600392413343,0.35317200784826686,0.15673254863855454,0.10533786152213558,0.2620704101606901
2121,Salva Sevilla,17,934,3,2.86201555095613,2,1.808707463555038,16,16,0,0,M S,Mallorca,0,0.6321827117353678,3.109639447182417,2.234910666011274,La_Liga,0.2890792291220557,0.19271948608137046,0.48179871520342615,0.27578308306857785,0.174286586423933,0.4500696694925108
2252,Borja Mayoral,6,311,3,1.4236906971782446,1,0.4188570007681846,5,5,0,0,F S,Getafe,2,0.6804130673408508,1.1967068230733275,0.1224973862990737,La_Liga,0.8681672025723474,0.28938906752411575,1.157556270096463,0.4120005232991705,0.12121263687825277,0.5332131601774233
2270,Antoine Griezmann,17,1186,3,3.804646652191877,1,1.5072342492640018,32,16,2,0,F M S,"Atletico Madrid,Barcelona",3,3.804646652191877,7.776183055713773,3.705586425960064,La_Liga,0.22765598650927485,0.07588532883642496,0.30354131534569984,0.2887168623079839,0.11437696663892088,0.40309382894690476
2272,Yannick Carrasco,23,1793,3,2.335152687504888,5,5.203201021999121,31,36,3,0,D F M S,Atletico Madrid,3,2.335152687504888,8.467206381261349,3.709849715232849,La_Liga,0.1505856107083101,0.2509760178471835,0.4015616285554936,0.11721346451502505,0.2611757345119469,0.378389199026972
