ranks,school,g,pace,ortg,efg,tov,orb,ft_fga
150,Lafayette,30,66,100.6,0.508,14.6,22.9,0.147
151,Lamar,29,67.5,90.8,0.447,18.5,30.2,0.18
152,Lehigh,32,68.8,99.1,0.52,17.6,21.1,0.19
153,Liberty,33,66,110.3,0.567,15.8,23,0.21
154,Lipscomb,33,71.2,104,0.529,16.4,23.1,0.255
155,Long Beach State,33,71.7,101.8,0.492,16.1,27.8,0.281
156,Long Island University,30,73.3,101.2,0.491,15.9,30.4,0.202
157,Longwood ,33,67.8,110.8,0.521,15.1,34.2,0.251
158,Louisiana,31,70.5,100,0.491,18.5,33.3,0.247
159,Louisiana-Monroe,31,69.7,102.7,0.514,16,25.8,0.189
160,Louisiana State ,34,70.4,102.3,0.493,17.7,33.9,0.244
161,Louisiana Tech,34,70,107.4,0.525,14.6,26.5,0.227
162,Louisville,32,67.5,98.9,0.488,15.7,27.3,0.169
163,Loyola (IL) ,33,65.7,109.2,0.558,16.4,25.1,0.223
164,Loyola Marymount,29,67.5,101.8,0.521,17.5,24.7,0.23
165,Loyola (MD),30,66.7,98.3,0.504,17.2,24.7,0.168
166,Maine,29,66.6,93.8,0.473,16.8,25,0.148
167,Manhattan,30,69.5,100.8,0.491,18,30.2,0.3
168,Marist,30,66.9,101.5,0.504,16,26.4,0.18
169,Marquette ,32,71.6,102.6,0.521,15.5,22.5,0.194
170,Marshall,33,73.3,100.9,0.495,15.6,27.8,0.168
171,Maryland-Baltimore County,32,68.8,106.7,0.524,14.3,21.9,0.24
172,Maryland-Eastern Shore,27,70.1,93.1,0.471,18.9,29.4,0.197
173,Maryland,32,67.4,104.4,0.494,14.7,27.3,0.257
174,Massachusetts-Lowell,31,68.9,101.8,0.494,15.5,29.5,0.185
175,Massachusetts,32,69.2,108.1,0.513,14.4,29.3,0.248
176,McNeese State,33,74.2,103,0.502,18.1,36.1,0.241
177,Memphis ,33,71,105.8,0.523,19.1,37.4,0.262
178,Mercer,33,66.3,105.5,0.531,16.5,25.3,0.221
179,Merrimack,30,64,95.2,0.488,16.4,22.2,0.177
180,Miami (FL) ,36,67.7,109.8,0.538,12.5,22.7,0.215
181,Miami (OH),32,68.9,108.3,0.513,13.1,27.2,0.19
182,Michigan State ,36,67.9,106.5,0.52,16.3,30.7,0.224
183,Michigan ,34,67.5,107.7,0.521,15.1,31,0.219
184,Middle Tennessee,37,68.2,107.6,0.521,16.1,30.3,0.254
185,Milwaukee,32,68,95.3,0.477,17.2,25.9,0.194
186,Minnesota,30,65.5,101.5,0.507,12.7,17.5,0.17
187,Mississippi State,34,66.6,104.6,0.496,16.7,34.1,0.274
188,Mississippi Valley State,28,72.6,90.6,0.444,15.9,23.3,0.205
189,Mississippi,32,67,100.5,0.496,15.9,26.7,0.204
190,Kansas City,31,70.2,106.2,0.541,13.7,20.4,0.21
191,Missouri State,34,68.1,112.6,0.553,13.9,25.1,0.221
192,Missouri,33,67.4,96.8,0.472,18.3,32,0.221
193,Monmouth,34,67.1,101.5,0.475,15,29.4,0.269
194,Montana State ,35,69.5,108.9,0.541,16.3,27.3,0.289
195,Montana,32,67.5,106.5,0.517,13.8,19.5,0.284
196,Morehead State,34,66.6,104.8,0.53,17.5,31.2,0.189
197,Morgan State,28,75.7,98.6,0.486,17.5,31.4,0.219
198,Mount St. Mary's,30,65.3,100.5,0.496,16.9,31.4,0.181
199,Murray State ,34,68.3,115.5,0.542,14.1,35.8,0.225
200,Navy,32,64.7,99.7,0.481,16.7,33.7,0.198
201,Omaha,30,71.4,97.4,0.492,17.1,24.2,0.209
202,Nebraska,32,72,99.8,0.503,15.6,20.5,0.244
203,Nevada-Las Vegas,32,67,104.3,0.496,14.5,27.1,0.222
204,Nevada,31,71.2,101.9,0.51,16.6,24.5,0.24
205,New Hampshire,28,63.6,108.1,0.515,12.4,28.8,0.169
206,New Mexico State ,34,68.3,105.7,0.524,17.7,33,0.239
207,New Mexico,32,71.5,103,0.499,14.5,23.8,0.239
208,New Orleans,32,74.9,102.2,0.501,16.8,26.8,0.292
209,Niagara,30,65.7,101.3,0.501,14.7,23.2,0.202
210,Nicholls State,33,72.5,107.5,0.531,14.5,31.5,0.131
211,NJIT,29,67.3,92.4,0.467,16.8,23,0.205
212,Norfolk State ,31,70.7,105,0.522,17.3,30.7,0.259
213,North Alabama,30,70.6,97.4,0.46,14.5,27.5,0.173
214,UNC Asheville,32,68,108.3,0.53,15.6,27.7,0.267
215,North Carolina A&T,32,68.5,98.1,0.478,15.9,29.9,0.186
216,North Carolina Central,31,70.9,101.5,0.505,18.8,33.5,0.243
217,UNC Greensboro,32,63.2,101.9,0.498,17.4,33.3,0.2
218,NC State,32,67.9,105.4,0.479,12.4,30.2,0.211
219,UNC Wilmington,36,66.7,105.8,0.485,12.8,28,0.249
220,North Carolina ,36,70.4,110.1,0.522,14.4,30.9,0.231
221,North Dakota State,33,68.2,108,0.528,15,25.3,0.258
222,North Dakota,31,69.4,100.9,0.481,15,26.6,0.231
223,North Florida,31,69.1,98.4,0.501,18.5,26.2,0.217
224,North Texas,32,60.6,106.5,0.518,16,32.3,0.24
225,Northeastern,31,65.4,97.5,0.501,18.9,26.3,0.225
226,Northern Arizona,32,67.8,98.9,0.492,17.1,28.6,0.186
227,Northern Colorado,38,70.7,109.2,0.563,15.7,22.9,0.215
228,Northern Illinois,30,68.6,93.1,0.472,17.7,24.3,0.224
229,Northern Iowa,32,67.6,108,0.537,14.7,21,0.256
230,Northern Kentucky,32,65.6,104.9,0.503,16.6,35.3,0.185
231,Northwestern State,32,73.2,100.9,0.503,16.6,29.3,0.169
232,Northwestern,31,68.8,104.4,0.495,12.3,25.4,0.184
233,Notre Dame ,35,65.9,108.6,0.543,14.1,22.4,0.201
234,Oakland,32,69,107.3,0.502,15.3,31.4,0.265
235,Ohio State ,32,65.1,110.9,0.543,15.1,29.3,0.253
236,Ohio,35,69,107.2,0.506,13.3,27.4,0.23
237,Oklahoma State,30,68.8,96.9,0.48,18.4,32.3,0.22
238,Oklahoma,35,66.1,103,0.548,19.7,25.8,0.205
239,Old Dominion,32,65.7,100.8,0.473,15.3,32.2,0.229
240,Oral Roberts,31,72.2,114.4,0.544,11.9,28.4,0.17
241,Oregon State,31,67.8,99.1,0.492,16.1,26.2,0.196
242,Oregon,35,68.4,105.1,0.511,14.8,30,0.198
243,Pacific,30,69.5,94.3,0.468,15.8,22.7,0.219
244,Penn State,31,62.8,101.6,0.505,16.2,28.6,0.16
245,Pennsylvania,28,69,103.4,0.513,15,25.2,0.176
246,Pepperdine,32,71.7,94.4,0.478,17.9,26.6,0.171
247,Pittsburgh,32,64.2,95.8,0.467,18.4,30.5,0.274
248,Portland State,31,72.2,101,0.481,14.9,27.3,0.236
249,Portland,33,72.2,102.8,0.505,16.4,24,0.278
250,Prairie View,27,71.8,95.6,0.484,20.8,31.7,0.271
251,Presbyterian,32,66.5,98.5,0.471,16.7,33.9,0.212
252,Princeton,30,68.7,114.7,0.575,12.9,25.8,0.133
253,Providence ,33,65.9,106.5,0.5,14.7,30.3,0.269
254,Purdue ,37,66.7,117.8,0.565,15,35.2,0.272
255,Quinnipiac,31,69.3,103.2,0.507,16.3,28.7,0.203
256,Radford,29,65.4,95.3,0.477,18,28.9,0.186
257,Rhode Island,31,68.2,98.4,0.505,18.3,28.6,0.223
258,Rice,33,68.4,106.8,0.537,16,26.6,0.218
259,Richmond ,37,67.4,104.7,0.511,13,22.4,0.223
260,Rider,33,68.3,98.2,0.46,14.8,29.3,0.201
261,Robert Morris,32,67.7,101.7,0.517,18.4,28.5,0.215
262,Rutgers ,32,65.5,102.9,0.499,15,29.6,0.184
263,Sacramento State,29,66.4,98.1,0.492,14.9,22.4,0.192
